,Brand,Retail Price,Shoe Size,Days_after_release,ROI
0,0,220,11.0,342,398.6363636363636
1,0,220,11.0,282,211.3636363636364
2,0,220,11.0,282,213.63636363636363
3,0,220,11.5,282,388.6363636363636
4,0,220,11.0,202,276.3636363636364
5,0,220,8.5,202,262.72727272727275
6,0,220,11.0,258,256.3636363636364
7,0,220,10.0,125,109.09090909090908
8,0,220,11.0,125,111.36363636363636
9,0,220,11.0,125,111.36363636363636
10,0,220,11.5,125,134.0909090909091
11,0,220,10.0,125,115.0
12,0,220,9.0,125,109.09090909090908
13,0,220,14.0,188,159.0909090909091
14,0,220,8.0,188,138.63636363636363
15,0,220,11.0,188,199.0909090909091
16,0,220,11.0,188,195.45454545454547
17,0,220,10.0,188,177.27272727272728
18,0,220,9.0,188,167.72727272727272
19,0,220,5.5,188,286.3636363636364
20,0,220,9.0,188,148.1818181818182
21,0,220,9.5,188,166.36363636363637
22,0,220,14.0,188,190.9090909090909
23,0,220,8.0,343,286.3636363636364
24,0,220,11.0,283,354.0909090909091
25,0,220,9.0,203,236.3636363636364
26,0,220,8.0,203,247.72727272727272
27,0,220,11.5,259,263.6363636363636
28,0,220,10.5,126,113.63636363636364
29,0,220,8.5,126,106.8181818181818
30,0,220,10.0,126,117.72727272727272
31,0,220,9.0,189,160.0
32,0,220,9.0,189,163.63636363636363
33,0,220,14.0,189,168.1818181818182
34,0,220,10.0,189,184.0909090909091
35,0,220,9.0,189,170.45454545454547
36,0,220,9.0,189,167.72727272727272
37,0,220,11.0,189,188.63636363636363
38,0,220,10.0,344,385.45454545454544
39,0,220,13.0,284,397.72727272727275
40,0,220,10.0,204,272.7272727272727
41,0,220,10.5,204,240.9090909090909
42,0,220,9.0,260,225.0
43,0,220,12.0,260,295.45454545454544
44,0,220,9.5,127,118.1818181818182
45,0,220,9.0,127,108.63636363636364
46,0,220,10.0,127,115.90909090909092
47,0,220,9.5,127,108.18181818181816
48,0,220,11.0,127,118.63636363636364
49,0,220,9.0,190,165.9090909090909
50,0,220,13.0,190,195.45454545454547
51,0,220,8.0,190,155.9090909090909
52,0,220,5.0,190,215.9090909090909
53,0,220,8.5,190,170.45454545454547
54,0,220,9.0,345,336.3636363636364
55,0,220,10.5,205,256.8181818181818
56,0,220,10.0,261,263.1818181818182
57,0,220,6.5,261,286.3636363636364
58,0,220,10.5,128,115.90909090909092
59,0,220,10.5,128,113.63636363636364
60,0,220,9.5,128,118.1818181818182
61,0,220,8.5,128,98.1818181818182
62,0,220,9.5,128,118.63636363636364
63,0,220,10.5,191,186.36363636363637
64,0,220,12.0,191,195.45454545454547
65,0,220,9.5,191,175.0
66,0,220,8.5,191,161.36363636363637
67,0,220,11.0,191,199.54545454545453
68,0,220,14.0,191,170.0
69,0,220,9.5,191,184.0909090909091
70,0,220,8.0,191,140.9090909090909
71,0,220,6.0,346,295.45454545454544
72,0,220,11.0,286,221.8181818181818
73,0,220,5.0,286,428.18181818181824
74,0,220,11.0,206,270.45454545454544
75,0,220,12.0,206,263.1818181818182
76,0,220,11.0,262,252.27272727272728
77,0,220,9.0,262,218.18181818181816
78,0,220,13.0,129,149.54545454545453
79,0,220,9.5,129,113.63636363636364
80,0,220,9.5,129,115.90909090909092
81,0,220,13.0,129,136.36363636363637
82,0,220,13.0,129,123.63636363636364
83,0,220,11.0,129,113.63636363636364
84,0,220,13.0,129,143.1818181818182
85,0,220,11.0,192,197.72727272727272
86,0,220,9.0,192,161.36363636363637
87,0,220,9.0,192,163.63636363636363
88,0,220,10.5,192,172.72727272727272
89,0,220,11.5,192,202.27272727272728
90,0,220,10.5,192,183.1818181818182
91,0,220,9.0,192,165.0
92,0,220,11.5,192,196.3636363636364
93,0,220,7.5,347,310.9090909090909
94,0,220,9.0,287,206.81818181818184
95,0,220,10.0,287,216.8181818181818
96,0,220,11.5,207,284.09090909090907
97,0,220,11.0,207,270.45454545454544
98,0,220,7.5,263,195.45454545454547
99,0,220,14.0,263,259.09090909090907
100,0,220,10.0,130,107.27272727272728
101,0,220,9.5,130,115.90909090909092
102,0,220,9.0,130,109.09090909090908
103,0,220,12.0,130,121.36363636363636
104,0,220,9.5,130,112.27272727272728
105,0,220,6.5,193,190.9090909090909
106,0,220,12.0,193,203.1818181818182
107,0,220,12.5,193,240.45454545454547
108,0,220,11.5,193,197.72727272727272
109,0,220,11.0,193,193.1818181818182
110,0,220,10.0,193,172.72727272727272
111,0,220,8.0,193,147.72727272727272
112,0,200,10.5,663,515.0
113,0,220,4.0,348,239.09090909090912
114,0,220,9.0,288,217.72727272727272
115,0,220,8.0,208,252.27272727272728
116,0,220,4.0,208,314.0909090909091
117,0,220,11.0,208,277.2727272727273
118,0,220,12.0,208,290.90909090909093
119,0,220,10.5,264,227.27272727272728
120,0,220,4.0,131,123.1818181818182
121,0,220,9.0,131,109.09090909090908
122,0,220,6.0,131,172.72727272727272
123,0,220,9.0,131,108.18181818181816
124,0,220,11.0,194,200.0
125,0,220,7.5,194,163.1818181818182
126,0,220,10.5,194,179.54545454545453
127,0,220,7.0,194,161.36363636363637
128,0,220,8.5,349,318.1818181818182
129,0,220,10.0,209,256.8181818181818
130,0,220,11.5,209,297.7272727272727
131,0,220,9.5,265,236.3636363636364
132,0,220,5.0,265,293.1818181818182
133,0,220,10.0,132,105.45454545454544
134,0,220,10.0,132,113.63636363636364
135,0,220,9.5,132,113.1818181818182
136,0,220,8.5,132,99.0909090909091
137,0,220,7.0,195,156.36363636363637
138,0,220,12.0,195,204.54545454545453
139,0,220,11.5,195,193.1818181818182
140,0,220,12.0,195,202.72727272727275
141,0,220,11.5,195,193.1818181818182
142,0,220,8.5,195,163.63636363636363
143,0,220,10.0,195,172.72727272727272
144,0,200,9.5,568,450.0
145,0,220,13.0,290,218.18181818181816
146,0,220,9.0,290,396.3636363636364
147,0,220,8.0,210,276.8181818181818
148,0,220,9.0,210,239.54545454545456
149,0,220,5.0,266,270.0
150,0,220,9.0,133,102.72727272727272
151,0,220,13.0,133,122.72727272727272
152,0,220,10.5,133,106.8181818181818
153,0,220,10.0,133,109.09090909090908
154,0,220,9.5,133,120.45454545454544
155,0,220,8.5,196,176.36363636363637
156,0,220,8.0,196,157.72727272727275
157,0,220,14.0,196,163.63636363636363
158,0,220,9.0,196,166.8181818181818
159,0,220,9.0,196,163.63636363636363
160,0,200,12.0,569,399.5
161,0,220,10.5,351,350.0
162,0,220,9.5,291,190.9090909090909
163,0,220,10.5,291,215.9090909090909
164,0,220,11.0,211,268.1818181818182
165,0,220,11.0,211,263.6363636363636
166,0,220,9.5,267,228.1818181818182
167,0,220,11.5,134,127.27272727272728
168,0,220,11.0,134,120.45454545454544
169,0,220,11.0,134,104.54545454545456
170,0,220,12.0,197,188.63636363636363
171,0,220,10.0,197,184.0909090909091
172,0,220,12.0,197,202.27272727272728
173,0,220,14.0,197,163.1818181818182
174,0,220,9.5,197,181.8181818181818
175,1,190,10.0,1,1005.2631578947368
176,1,160,9.0,1,503.125
177,1,160,8.0,1,487.5
178,1,160,9.0,1,730.625
179,1,160,9.0,1,693.75
180,1,160,10.0,1,643.75
181,1,160,11.0,1,712.5
182,1,250,10.5,1,380.0
183,1,130,13.0,1,615.3846153846155
184,1,130,10.0,1,464.6153846153846
185,0,200,8.0,622,450.5
186,0,220,11.5,352,400.0
187,0,220,11.0,352,377.27272727272725
188,0,220,10.0,292,190.9090909090909
189,0,220,12.5,292,445.45454545454544
190,0,220,10.5,212,268.1818181818182
191,0,220,11.5,212,291.3636363636364
192,0,220,4.0,268,263.1818181818182
193,0,220,8.0,135,113.63636363636364
194,0,220,11.0,135,103.18181818181816
195,0,220,9.0,135,113.63636363636364
196,0,220,10.0,135,117.72727272727272
197,0,220,10.5,198,186.36363636363637
198,0,220,11.0,198,182.72727272727275
199,0,220,7.5,198,163.63636363636363
200,0,220,10.5,198,195.45454545454547
201,0,220,9.5,198,185.45454545454544
202,0,220,9.0,198,157.72727272727275
203,1,190,12.0,2,1026.3157894736842
204,1,160,10.0,2,418.75
205,1,160,11.0,2,412.5
206,1,160,13.0,2,962.5
207,1,160,10.0,2,674.375
208,1,160,10.0,2,618.75
209,1,250,8.0,2,407.6
210,1,250,6.0,2,420.0
211,1,250,10.0,2,354.0
212,1,130,12.0,2,492.3076923076923
213,1,130,9.0,2,465.3846153846154
214,1,130,10.5,2,327.6923076923077
215,1,130,10.0,2,376.92307692307685
216,0,200,10.0,571,400.0
217,0,220,9.0,353,347.72727272727275
218,0,220,10.5,353,347.72727272727275
219,0,220,9.5,293,195.45454545454547
220,0,220,9.5,293,191.8181818181818
221,0,220,7.5,293,376.8181818181818
222,0,220,9.0,213,240.9090909090909
223,0,220,8.5,213,225.0
224,0,220,10.5,136,106.8181818181818
225,0,220,10.5,136,104.54545454545456
226,0,220,10.5,136,109.09090909090908
227,0,220,8.0,136,115.90909090909092
228,0,220,9.5,136,117.27272727272728
229,0,220,11.5,136,134.0909090909091
230,0,220,8.0,136,117.27272727272728
231,0,220,9.0,199,156.8181818181818
232,0,220,11.5,199,206.81818181818184
233,0,220,13.5,199,238.63636363636363
234,0,220,12.5,199,238.63636363636363
235,0,220,9.0,199,157.72727272727275
236,0,220,11.0,199,186.8181818181818
237,0,220,11.0,199,186.36363636363637
238,0,220,10.0,199,186.36363636363637
239,0,220,8.5,199,177.27272727272728
240,1,190,10.5,3,903.6842105263157
241,1,160,11.0,3,425.0
242,1,160,8.5,3,475.0
